case,attack,delta_v,nis,cusum_stat,cusum_alarm,jitter_z,jitter_detected,kalman_anomaly,consensus,threat_score,theta_seq,physics_alarm_seq
case9,baseline,0.0144405994097653,11.804406535500528,1.4746669750961885,False,0.49689244610629,False,False,0,0.2946033602791204,11.804406535500528,0
case9,baseline,0.0247518484119845,11.200305525451158,0.3941784627200045,False,0.2383635000320198,False,False,0,0.0,21.824271407401632,0
case9,baseline,0.0206110958261134,11.530208209570905,0.83744085231788,False,0.0579908566462991,False,False,0,0.0151041047854523,31.172052476232373,0
case9,baseline,0.0219467445662806,10.869550714526556,-0.1609732909444984,False,0.3647555614054915,False,False,0,0.0,38.924397943135695,0
case9,baseline,0.0238685020841684,11.419848197333796,0.5264921207510647,False,0.3215168835550767,False,False,0,0.0,46.45180634615592,0
case9,baseline,0.0244387422979667,11.850221422840068,-0.0253838172091859,False,0.6912000099840899,False,False,0,0.213350713416852,53.6568471343804,0
case9,baseline,0.0241739770961521,10.842130243282964,1.3440393864625042,False,0.1088820250455425,False,False,0,0.1032118159387512,59.13329266422533,0
case9,baseline,0.0196956795626262,12.440527134853168,0.7097781037306803,False,0.3849965218222147,False,False,0,0.470263567426584,65.66049053265597,0
case9,baseline,0.0189391928914418,12.378199050964117,0.3513453686876014,False,0.36095649000089,False,False,0,0.4390995254820575,71.4726405303545,0
case9,baseline,0.0233656275138698,12.07334483125709,1.5009967964903543,False,0.4220194499198555,False,False,0,0.4369714545756514,76.39872130857614,0
case9,baseline,0.0222646816326675,10.64745633660273,0.3162989816666998,False,0.3825352938119842,False,False,0,0.0,79.40630551432126,0
case9,baseline,0.0178369535972599,11.480244455434848,0.3654044106144429,False,0.5289687162796379,False,False,0,0.0057937432559275,82.94591941832398,0
case9,baseline,0.0270260265293909,12.002465683295666,0.3594691667512352,False,0.1988688770814397,False,True,0,0.2512328416478331,86.65379315978726,0
case9,baseline,0.0154265453436936,11.525472719036893,1.0039181899271243,False,0.7015766705831031,False,False,0,0.0542271506132043,89.51388656284543,0
case9,baseline,0.012799792761581,10.559324604385536,0.1499202970366305,False,0.5702393912213506,False,False,0,0.0140478782442701,91.12182251094644,0
case9,baseline,0.0242370071628831,11.645213667762576,0.1048590728807747,False,0.6611752064069003,False,False,0,0.104841875162668,93.65485392761435,0
case9,baseline,0.0238498867996539,10.940558788311684,0.4758409249175334,False,0.830965030255433,False,False,0,0.0661930060510866,95.22992732316462,0
case9,baseline,0.0188020274590309,11.010773866858296,3.7576628138786576,False,0.750369222795371,False,False,0,0.8773726887226714,96.71770845770646,0
case9,baseline,0.0193793380555917,10.872271317522287,2.7364037754664627,False,0.5689993633386624,False,False,0,0.5347210053076713,97.91820892945812,0
case9,baseline,0.0288146873615161,10.753720907141728,2.6369964410239795,False,0.7069118495977165,False,False,0,0.5324813022267371,98.88010894365404,0
case9,baseline,0.0215222455993542,10.678542529045346,1.708879275890317,False,0.4112890625581992,False,False,0,0.2126637827670951,99.67064057833396,0
case9,baseline,0.0124961580339641,11.881127479826896,2.2155108902854,False,0.2699633168356709,False,True,0,0.5552170069990676,101.58470400032748,0
case9,baseline,0.0278019007056643,11.219411900527762,0.0628523781257143,False,0.8375081085693087,False,False,0,0.0675016217138617,102.6456455008225,0
case9,baseline,0.0222103700843336,11.86711568409544,1.3802038963963066,False,0.4649169465563243,False,False,0,0.2976190109666119,104.2481966348357,0
case9,baseline,0.0215888351621855,10.747577609623043,0.0440323461393496,False,0.4455427266004543,False,False,0,0.0,104.57095458097518,0
case9,baseline,0.0293600284023615,11.144634209478868,0.3375753651896834,False,0.4161540040683413,False,False,0,0.0,105.25849333235654,0
case9,baseline,0.0202925445115342,11.282933246550815,0.3712331395502664,False,0.562327346898991,False,False,0,0.0124654693797982,106.0155772456717,0
case9,baseline,0.0264027038083873,11.311472509376069,2.622046675434901,False,0.0616238399948181,False,False,0,0.4866140026304704,106.7254920304806,0
case9,baseline,0.0168888141754686,11.368016876967308,1.953486027640602,False,0.3674646956461806,False,False,0,0.2860458082921806,107.42095970439983,0
case9,baseline,0.0138971494785907,11.17483332350522,1.368537130762035,False,0.0254174234181735,False,False,0,0.1105611392286105,107.85369705746508,0
case9,baseline,0.0188038760106512,12.300366778513956,0.4181520614133525,False,0.4997939997714435,False,False,0,0.4001833892569779,109.36869413023254,0
case9,baseline,0.0140166976539323,12.76791476175232,0.409857329672625,False,0.8608645378912265,False,True,0,0.706130288454405,111.19973947896162,0
case9,baseline,0.0230692067073771,12.11222945581265,0.4566882765787574,False,0.4305356267808019,False,True,0,0.3061147279063254,112.19199498687811,0
case9,baseline,0.0268005568312408,10.661739886686028,1.8231110249776323,False,0.3436147481687742,False,False,0,0.2469333074932896,111.63453537487632,0
case9,baseline,0.0263556911299045,11.504309380433847,0.04707441622024,False,0.4334879944289056,False,False,0,0.0021546902169236,111.97539121782256,0
case9,baseline,0.0202717528896928,11.536578312624975,0.1725884585629756,False,0.7497473391938472,False,False,0,0.0682386241512579,112.31443040866526,0
case9,baseline,0.0192113802087294,12.786780600820244,0.2489601537397603,False,0.2650302037172649,False,False,0,0.6433903004101227,113.869767968619,0
case9,baseline,0.0273832931271481,11.177446609016984,1.1074120184383451,False,0.6369321785042956,False,False,0,0.0596100412323626,113.66023778077408,0
case9,baseline,0.0212969465449984,10.549390370530013,0.0585513338166545,False,0.3225365228021052,False,False,0,0.0,112.84360437322668,0
case9,baseline,0.022677459049876,11.38389002557251,3.20799146863156,False,0.1060386659364224,False,False,0,0.6623974405894678,112.94313396147652,0
case9,baseline,0.0251328992327603,12.210900073088458,0.8672917139800023,False,0.5886871222996501,False,False,0,0.3731874610041593,113.85972063841731,0
case9,baseline,0.0193146108947907,10.474803449188052,0.5053913456031283,False,0.8472498453524105,False,False,0,0.0694499690704821,112.94855202376364,0
case9,baseline,0.0256133884239901,11.701615354153663,0.7151511172770446,False,0.4431975862554043,False,False,0,0.1008076770768324,113.35531217554094,0
case9,baseline,0.0176216432601569,12.062480239933295,1.0220018004261462,False,0.360643440795072,False,False,0,0.2878406600944915,114.08226119792016,0
case9,baseline,0.0225729449534526,12.70292778120135,0.0288729251309324,False,0.4995305856148574,False,False,0,0.6014638906006748,115.37696285932948,0
