case,attack,delta_v,nis,cusum_stat,cusum_alarm,jitter_z,jitter_detected,kalman_anomaly,consensus,threat_score
case9,baseline,0.01282846892586905,11.25446620278164,0.112516703470218,False,0.178722688335813,False,False,0,0.0
case9,baseline,0.010345508428951695,11.528767983531143,0.13660985110823726,False,0.5579282107467443,False,False,0,0.025969633914920333
case9,baseline,0.015437862764039927,11.645283593264928,0.015334309171513225,False,0.29622632855275316,False,False,0,0.07264179663246395
case9,baseline,0.025424888612803568,11.971314764029248,0.8206944501597337,False,0.24178518349410727,False,False,0,0.23565738201462416
case9,baseline,0.01724690369246262,11.297751096397308,1.8129949081488572,False,0.21033735958925906,False,False,0,0.24389847244465715
case9,baseline,0.02515819591176726,10.619738576296044,0.22056414622816575,False,0.33096983630338145,False,False,0,0.0
case9,baseline,0.020830447680263257,11.911411795300495,0.3499251109585135,False,0.14434942337827014,False,False,0,0.2057058976502475
case9,baseline,0.014407050094399913,11.648791531962164,0.08972016926430214,False,-0.06284528518636308,False,False,0,0.07439576598108211
case9,baseline,0.01894682598315834,11.82003291087348,0.08086750548347646,False,0.43252031100071914,False,False,0,0.1600164554367396
case9,baseline,0.017658687467664382,11.256598500327701,0.039174436074528,False,0.8461953706324098,False,False,0,0.06923907412648196
case9,baseline,0.013448243559913007,12.26313393052923,2.204690874136159,False,0.6846170443158063,False,False,0,0.7798976363686241
case9,baseline,0.02016332231951233,12.285794046218209,0.08862960957768957,False,0.6556317157235951,False,False,0,0.4240233662538235
case9,baseline,0.016826243713345585,10.637555847221394,0.39492485087174056,False,0.7750465832642821,False,False,0,0.055009316652856424
case9,baseline,0.01687907342769821,11.794189712716285,2.3490103007804986,False,0.23447567041600922,False,False,0,0.5517979465922922
case9,baseline,0.020474375181687314,12.383776039761733,0.11682329038499396,False,0.3752348431823477,False,False,0,0.44188801988086635
case9,baseline,0.01928469248727719,10.705950573368217,-0.04482397512945796,False,0.4376039592574374,False,False,0,0.0
case9,baseline,0.020373236515830232,12.049173624154639,0.8124819641918251,False,0.5276993254128535,False,False,0,0.2801266771598901
case9,baseline,0.029180406113483905,11.703714295144716,0.5692999842219619,False,0.604497188804969,False,False,0,0.12275658533335157
case9,baseline,0.011800994929331704,11.965750375765666,2.183332520988605,False,0.001393436209679206,False,False,0,0.5878749441794143
case9,baseline,0.02750989856161245,10.401249480435116,1.2220593893878444,False,0.4533131714602789,False,False,0,0.06661781681635333
case9,baseline,0.01065821358911289,10.15716481244386,0.720562674933446,False,0.22995244632641312,False,False,0,0.0
case9,baseline,0.021589140832932043,11.67946423025056,1.246010667430514,False,0.4020599619549152,False,False,0,0.16353531535443389
case9,baseline,0.02359293956729958,10.672341587942034,1.2520052041780758,False,0.22991957688493456,False,False,0,0.07560156125342274
case9,baseline,0.02154770536080493,11.887562430019889,1.7035487068426862,False,0.1522184685041169,False,False,0,0.40484582706275035
case9,baseline,0.024314611822923153,10.93477074645483,0.2739654195006604,False,0.7824742376487318,False,False,0,0.056494847529746366
case9,baseline,0.023236637257807977,11.673700530968974,1.3222430933248592,False,0.5971242664547236,False,False,0,0.2029480467728894
case9,baseline,0.019194616391535482,10.756658340775521,0.06039897937416765,False,0.5697445490956264,False,False,0,0.013948909819125289
case9,baseline,0.017109080107745523,11.11110643658099,0.08145905238609386,False,0.4729051471639175,False,False,0,0.0
case9,baseline,0.0190967005083251,12.041621084934581,0.8949520357198507,False,0.4188491789092103,False,False,0,0.27081054246729064
case9,baseline,0.02498615780459481,11.4186886084058,0.30106708660893855,False,0.162857031036834,False,False,0,0.0
case9,baseline,0.025248749397283173,12.785185086392369,2.3393263304283356,False,0.6724249272713777,False,True,0,1.0788754277789607
case9,baseline,0.027338778767408135,11.499270725393378,4.794421331107571,False,1.1828450703604223,False,False,0,1.274895413404356
case9,baseline,0.02315121468018848,11.842063370332898,1.0390517249908515,False,0.18257393688665338,False,False,0,0.18274720266370453
case9,baseline,0.02607716744811695,11.364851251005929,0.1762978590608077,False,0.24720569836422074,False,False,0,0.0
case9,baseline,0.017038510895854623,11.783731803554174,0.765941378453219,False,0.19780427229214192,False,False,0,0.1418659017770869
case9,baseline,0.020462147294742272,11.956855192380043,0.1402615793276015,False,0.45194242740232554,False,False,0,0.22842759619002173
case9,baseline,0.022964066318335124,11.813160084590262,0.42983528932491327,False,0.7300146948459606,False,False,0,0.202582981264323
case9,baseline,0.022995464220615828,12.167963435780406,2.6887197232024334,False,0.7862161011865663,False,False,0,0.8978408550882461
case9,baseline,0.013740765861190139,10.498266992679964,0.791737545715256,False,0.2648959720179767,False,False,0,0.0
case9,baseline,0.020457737418252585,11.829877295691013,0.11427366662658357,False,0.6628355797526282,False,False,0,0.19750576379603202
case9,baseline,0.02902922729693768,12.033689361914156,0.2065178808304282,False,0.8897773311085764,False,False,0,0.3448001471787934
case9,baseline,0.020231104512643698,10.006537148829725,0.8709255654115136,False,0.6040956911333809,False,False,0,0.020819138226676182
case9,baseline,0.011655625543561744,11.635890335826724,0.5996282909400339,False,0.37953232875257703,False,False,0,0.06794516791336225
case9,baseline,0.02288080867368337,11.598501112884271,0.6264548725076565,False,0.8511234989174845,False,False,0,0.11947525622563263
case9,baseline,0.03369050557072679,11.849336207131463,-0.18521356199369388,False,0.7241768076910184,False,False,0,0.21950346510393529
case9,baseline,0.018411509259204747,10.269692536238948,1.9231675480203843,False,0.5004459787191573,False,False,0,0.27703946014994674
case9,baseline,0.03453264592294973,10.61152517941682,0.054465900291570085,False,0.15414059963962282,False,False,0,0.0
case9,baseline,0.022683929583978427,11.303012198801817,1.4371154414380611,False,0.6312642688242056,False,False,0,0.15738748619625947
case9,baseline,0.028467009901339844,12.009629112608232,0.3778266948455111,False,0.8353571594366209,False,False,0,0.3218859881914404
