case,attack,threat_score
case9,baseline,0.2946033602791204
case9,baseline,0.0
case9,baseline,0.0151041047854523
case9,baseline,0.0
case9,baseline,0.0
case9,baseline,0.213350713416852
case9,baseline,0.1032118159387512
case9,baseline,0.470263567426584
case9,baseline,0.4390995254820575
case9,baseline,0.4369714545756514
case9,baseline,0.0
case9,baseline,0.0057937432559275
case9,baseline,0.2512328416478331
case9,baseline,0.0542271506132043
case9,baseline,0.0140478782442701
case9,baseline,0.104841875162668
case9,baseline,0.0661930060510866
case9,baseline,0.8773726887226714
case9,baseline,0.5347210053076713
case9,baseline,0.5324813022267371
case9,baseline,0.2126637827670951
case9,baseline,0.5552170069990676
case9,baseline,0.0675016217138617
case9,baseline,0.2976190109666119
case9,baseline,0.0
case9,baseline,0.0
case9,baseline,0.0124654693797982
case9,baseline,0.4866140026304704
case9,baseline,0.2860458082921806
case9,baseline,0.1105611392286105
case9,baseline,0.4001833892569779
case9,baseline,0.706130288454405
case9,baseline,0.3061147279063254
case9,baseline,0.2469333074932896
case9,baseline,0.0021546902169236
case9,baseline,0.0682386241512579
case9,baseline,0.6433903004101227
case9,baseline,0.0596100412323626
case9,baseline,0.0
case9,baseline,0.6623974405894678
case9,baseline,0.3731874610041593
case9,baseline,0.0694499690704821
case9,baseline,0.1008076770768324
case9,baseline,0.2878406600944915
case9,baseline,0.6014638906006748
case9,baseline,0.1482140742345934
case9,baseline,0.0
case9,baseline,0.567314361799439
case9,baseline,0.025138246504636
case9,baseline,0.0284243680152323
case9,baseline,0.1244983153965415
case9,baseline,0.1770895735014874
case9,baseline,0.2290692280565577
case9,baseline,0.0802707744141466
case9,baseline,0.338060877572925
case9,baseline,0.4451613039090957
case9,baseline,0.0565065228353089
case9,baseline,0.0859145570320322
case9,baseline,0.0
case9,baseline,0.15661167211503
case9,branch1_out,13.8726286233682
case9,branch1_out,3.569078123786212
case9,branch1_out,1.5086078135013947
case9,branch1_out,33.151175614177816
case9,branch1_out,30.081643780638192
case9,branch1_out,20.25697777991009
case9,branch1_out,19.405138311016337
case9,branch1_out,7.277260467047162
case9,branch1_out,4.422570851412011
case9,branch1_out,23.13914770513388
case9,branch1_out,24.90591621466612
case9,branch1_out,7.003588156828635
case9,branch1_out,1.52625673263409
case9,branch1_out,8.132201278044578
case9,branch1_out,16.703303531724696
case9,branch1_out,27.88326504754196
case9,branch1_out,6.051139281935695
